label,sentence
0,Rychlé a snadné použití
1,Velmi rychle se zaplní nádobka na prach a manipulace při vysypávání je dle mne obtížná
0,"Splňuje očekávání, výborný sací výkon"
1,"Vyšší hlučnost, chybí mi automatické namotávání přívodního kabelu"
0,Vysavač pro běžné vysavání
1,Poměrně drahé sáčky. při nákupu v obchodě většinou pouze na objednávku. v celém liberci pouze v electroworldu
1,Snad jen velikost vysavače
1,Úzká hubice není dost úzká na vysávání mezery mezi předními sedadly a prahy dveří
1,Chybí mi automatické navíjení el. šňůry  :-)
1,Výdrž baterie do tří let
1,O žádné nevýhodě nevím
1,"Malá nádoba na prach, ale na vysátí celého menšího bytu stačí"
1,"Velká hlučnost,malá schopnost sání"
1,"Neuvěřitelně hlučný,sáčky na odpad"
1,Jen jeden sáček je málo
0,"Relativní výhoda je váha tj. lehkost vysavače. bohužel je to dáno tím, že je z plastu a nic s sebou nevezete a pro vše musíte dojít. Tichý je, ale pouze na minimální chod"
1,Dlouha doba nabijeni a dost vyrazne modre svetlo upozornujici na nabijeni/nabiti vysavace
0,"Vysál celou dílnu, garáž a auto. Skvělé zpracování - žádné ostré hrany. Otvory pro příslušenství (úzká hubice) přímo na vysači. Možnost ofuku (jestě jsem nepoužil :d )"
0,"Je perfektní pro maminky s dětmi. drobečky jsou hned pryč. skvěle se čistí,jsou tam i hubice na čišteni sedačky a prachu k malemu vysavači.jsem moc spokojená"
0,"Silný tah - vhodný na úklid po obědě dětí, dokáže vysát např. vařenou rýži nalepenou na koberec. Dostatečná kapacita akumulátoru - nikdy se mi nestalo, že bych nestihla vysát, co jsem potřebovala. Vysávání s ním zvládne i dvouleté dítě. Vysavač používám několkrát za den již třetí rok a je bez poruchy"
0,"Dobrá cena. kvalitní výbava, včetně turbo - nástavce na čištění koberců"
1,Zatím žádné proti nemám
1,"Plastová trubice se prohýbá při vysávání koberce, asi moc dlouho nevydrží"
0,"Na to, jak je malý, vysává překvapivě dobře"
0,Snadná manipulace s nádobou. Příslišenství uloženo pod krytem
1,Očekávala jsem že bude samonavíjecí přívodní kabel
0,Vyčistí a oživí koberec
0,Malá velikost a váha
0,Zdarma turbokartáč a kartáč na pevnou podlahu. solidní výkon a zajímavý vzhled
0,Perfektně odstraní zvířecí chlupy. Bezsáčkový - jednoduché čištění. Poměrně velký akční radius
1,"Jemný filtr na třech místech natrhlý už po 2 vyklepání prachu z filtru, musí jít na reklamaci. Oproti klasickému vysavači má znatelně sice menší sací výkon, ale malinkaté kamínky nesune před sebou, ani žádný jiný prach!"
0,Oproti předešlému modelu výrazně tišší. Kvalitní a do detailů promyšlené zpracování
0,Zabránění šíření prachu -zpět do vysávaného prostoru. Možnost víceúčelového využití - čištění
0,Příjemný a lehký do ruky
0,"Velmi slušný design, dobíjecí stojánek, bohatá výbava nástavců"
1,"Minimální příslušenství (další hubice je nutno dokupovat). Překvapilo mě, jak moc se při vysávání skládaný filtr špiní a přes čistící tlačítko se moc nevyčistí, takže je nutno jej čas od času vyčistit ručně"
0,Super vysavač na drobky
0,"Může vysávat i vodu, slušný výkon, rychlé nabíjení"
0,"Opravdu silné sání,po psích chlupech  na kobercích ani stopa. Vysavač je celkem malý,dobrá manipulace"
0,Zatím dvakrát dokonale vyluxováno
1,Je to prcek pro malý byt s malým pytlíkem
0,Splňuje co jsem od něj očekávala
1,Trochu hlučnější na svoji velikost
0,"Vhodnější než ty, co jsem měl dříve (rainbow, beck)"
0,"Dobrý sací výkon, levný, lehký, úsporný, poměrně tichý, není potřeba kupovat sáčky, záruka 6 let na motor"
0,Úklid v rozích místnosti
0,Nepodstatný bonus - krásný elektrospotřebič
1,"Uchyceni vrchni casti (motor) - plastove prichytky se casem osoupou. vhodnejsi by bylo pero. nicmene podtlak je ve filtru tak silny, ze to udrzi sam o sobe. Mohl by byt lepe utesneny prechod mezi hadici a trubici (ale to jen detail). Privodni snura by mohlabyt o neco delsi"
1,"Podobně jako většina nových vysavačů se hůře nosí. náš předchozí vysavač bylo možné nést za výklopné držadlo ve vodorovné poloze, což jsme ocenili při vysávání schodů"
