14061	0	a	Jak prani tak sušení.
15913	1	a	Uchopení vysavače je zaměnitelné s uchopením nádoby na prach.
24374	1	a	Má jen 4 malé.
23412	1	a	Je spíše pro mužské ruce.
5755	0	a	Lehký pohyb po všech typech podlahových ploch.
11091	0	a	Trošku hlasitější ale žádná tragédie.
2177	0	a	Než kapslové kávovary nebo plnoautomaty na espresso.
28549	1	a	Při zvednutí vysavače za ucho se vytvoří na straně zacvakávacího patentu mezi nádobou a motorem malá štěrbina.
5402	0	a	Pračka je poměrně tichá i při nejvyšších otáčkách.
17494	1	a	Tak všech vzadu rozvíří.
19388	1	a	U starého odešla umělohmotná vanička ale jinak je funkční motoricky stále.
5900	0	a	Ovladani je velice jednoduche.
27409	1	a	Já bych chtěla kobaltově modrou.
35	0	a	Tak jak tomu bylo např.
19024	1	a	Lednička hlučí jinak než bývalá lednice stará 15 let (třída a).
12867	0	a	Má všechny důležité programy a výrobcem garantovanou 10 letou záruku na motor.
6894	0	a	Kvalitní  a přitom elegantní provedení.
13913	0	a	Hezká a dobrá cena.
27211	1	a	Protože trubka (tyč vysavače) je nahoře i dole zesílená.
23309	1	a	Dá se na 4 šroubky rozdělat.
16026	1	a	Made in romania (čekal jsem italskou výrobu.
7676	0	a	Po vyprání jsem ji použila i na máchání a ždíme velice dobře.
11740	0	a	Co je v popisu uvedeno.
1103	0	a	Kávovar je velmi pěkný a otevírá prostor se naučit s profi přístrojem.
265	0	a	Produkt jsem vybral na doporučení obsluhy.
10789	0	a	Co mu stoji v ceste.
8532	0	a	Stejně dobře vysaje i podlahu.
28049	1	a	Těžko se otvírají dveře.
22357	1	a	Který je přímo v plastovém šroubení pračky.
7055	0	a	Mléka i síly kávy.
15673	1	a	Ale to je tou sílou.
10549	0	a	Sací síla u nás vítězí.
2537	0	a	Nenašla jsem zatím žádné proti.
21443	1	a	Černá není černá ale šedá.
12918	0	a	Při mixování se neoddělují větší kusy od menších.
9283	0	a	Ale očekávám dlouhodobou kvalitu.
3843	0	a	Super účinná a rychlá příprava.
12449	0	a	Velka nadoba na vodu.
18879	1	a	Chybí vyndávací šuplík pod výparníkem.
6261	0	a	Ve ktere jste to udelali.
21989	1	a	Zklamal mne při mixování polévek.
13580	0	a	Není drahý a slouží zatím dobře.
14120	0	a	Uvnitř především sklo a hliník.
20361	1	a	Jinak mě ale nic jiného nenapadá.
20211	1	a	Forma pouze pro 6 vajec.
805	0	a	Tichý chod oproti staršímu šlehači co jsme měli dříve.
28564	1	a	Trochu hlučnější-zdá se že v ní trochu něco klepe - možná budeme řešit přes servis.
23872	1	a	Hadice by mohla být delší.
18349	1	a	Dálkový start nepoužitelný (musí se zapnout na pračce ručně tlačítko.
3601	0	a	Super pomocník pro suché i mokré vysávání.
14053	0	a	Umí udělat fakt dobré presso a cappuccino.
12558	0	a	Ardo tahle kupodivu i dost chladí.
19333	1	a	Např na 30 stupňů a ždímat na 1200 otáček je na 38 minut :-(.
1831	0	a	Moznost vyuzit papirove filtry c.
8075	0	a	Starou barvu  od škrábání atd.
21690	1	a	Lednička dělá komické zvuky.
22848	1	a	Síťový kabel by mohl být delší.
9237	0	a	Možnost přidělat šlehač na zeď a tím ho mít vždy a rychle po ruce.
513	0	a	Skvělý poměr cena - kvalita.
27940	1	a	U použití jako ponorný mixér je nutno při mixování stále držet spouštěcí knoflík.
9603	0	a	Od stejného výrobce je v rodině již druhý kávovar.
5171	0	a	Záruka na motor 10let.
19477	1	a	To je  evidentně krok zpátky.
25909	1	a	Trochu ho ulpí na rukojeti.
18869	1	a	Leč jsou dražší proto jsem volil manual.
11250	0	a	Po bytě běhá králík a dělá bobky.
1581	0	a	Kdy jim upadndou drobečky nebo se cokoli vysype v kuchyni (mouka apod.
16365	1	a	Ale to jsou všechny tyto mixéry.
25388	1	a	Dva a sní 400.
5544	0	a	Při ždímání se ani nehne.
1480	0	a	Co si usmyslíte a ještě jedním tlačítkem.
25063	1	a	Trubka od prodloužení je z velmi tenkého a měkkého plastu a moc dlouho nevydrží.
16447	1	a	Teplota 95 c a další nižší až 60 c.
4724	0	a	Možnost volby množství vody/nápoje přímo spotřebitelem.
19431	1	a	Snad když se mixer s metlami postaví nastojato.
14041	0	a	Byl mi tento produkt doporučen lidmi.
28739	1	a	Ten je nutné dokoupit.
8183	0	a	Cena v poměru k výkonu.
11804	0	a	Potřebovala jsem menší hloubku.
21739	1	a	Zatím malý výběr kapslí v čr.
27275	1	a	Než si ustálí své teploty v lednici na 4st a v mrazáku na -18stc.
8013	0	a	Že bude perfektně vytřeno.
17815	1	a	To je ale daň za kombinaci pračka sušička.
25586	1	a	Nedělá tak hustou pěnu.
16268	1	a	Dřívě jsem měla roventu a zmáčknutím rukojeti.
12189	0	a	Krásná elegantní černá barva.
23423	1	a	Tvar nicméně trvá než se něco rozmixuje než se dostane na nože a se zmrzlym ovocem má zpočátku dost problém.
15061	1	a	Používáme půl roku a právě obejdnán druhý pro tchány - takže bez chyby.
28785	1	a	Má o jednu polici míň než předcházející typy.
1982	0	a	Možnost použití papírových filtrů a regulace síly kávy.
6459	0	a	Efektivní ždímání (prádlo téměř suché).
20667	1	a	Otočení otvírání dveří je trochu náročnější a návod nepřesný.
12975	0	a	S výrobky firmy bosch jsem byl zatím vždy spokojen.
5246	0	a	Ten první vydržel bez problémů 12 let.
21340	1	a	Musí se každou chvíli vysypávat a čistit.
26730	1	a	Neustálé rozebírání a kompletace.
390	0	a	Líbí se mi odložený start.
12851	0	a	Velká nabídka druhů kávy.
1861	0	a	Madlo není třeba přidělávat.
20788	1	a	Kterou jsem měla předtím.
8983	0	a	Stálý výkon při různém stupni nabytí baterie.
3955	0	a	Dobrá káva v krátké době.
13602	0	a	Mám doma kočku a tento vysavač kvalitně zbaví koberce chlupů.
1851	0	a	Káva jako z kavárny.
10150	0	a	O hodně menší a má elektronické ovládání.
11776	0	a	Praktický - skvěle se hodí do mojí malé kuchyně :-).
13531	0	a	Šamponování koberců a čalounění.
27452	1	a	Není schopný rozlišit málo kávy.
22828	1	a	Tyc k vysavaci jsem musela vymenit z puvodniho vysavace.
11418	0	a	Takže se nelze splést a hrnek nepřeteče.
13047	0	a	Že 1000 otáček dostačuje.
1057	0	a	Určeno opravdu pro toho.
16265	1	a	Taky to funguje výborně a až se opotřebuje mám za ní tu druhou náhradní.
10633	0	a	Žádná velká zásuvka a potom mini).
4696	0	a	Káva je rychle připravená.
9710	0	a	Ale naprosto bezproblémové a intuitivní.
22334	1	a	Ale za tu cenu.
6370	0	a	Který jsme měli - jsme domácnost s dětmi a zvířaty.
26713	1	a	Vnitřní plastové části působí dojmem.
28453	1	a	Temper pro upěchování kávy je opravdu nešikovně umístěný.
9463	0	a	Nástavec na vysávání pohovky.
14658	1	a	Ale dá se na něm časem najít místo.
20996	1	a	Musíme snížit denní dávky:-)).
8109	0	a	Jeden z nejlepších nákupů.
26351	1	a	Barva kávovaru není čistě bílá.
5680	0	a	Pouzila jsem malou dozu i na rozemleti syrove pohanky.
11728	0	a	Co k tomu napsat - chladí.
9126	0	a	Možnost zkrácení pracího cyklu.
14652	1	a	Absence kontrolovaného doběhu bubnu s nastavením dvířek bubnu ve dveřích pračky.
3747	0	a	A hlavně dělá výbornou kávu.
25595	1	a	U kterých se jen přepínáním rozvítí podsvícení.
26621	1	a	Postrádám tam držák na zeď.
4264	0	a	Výborný poměr cena x výkon.
24866	1	a	Který je daň za úsporu energie a vody.
9296	0	a	Výborný na kočičí a psí chlupy.
2745	0	a	Velikost naprosto vyhovující pro rodinu.
19186	1	a	Zatím mi není známa.
8286	0	a	Síla kávy a objem).
6984	0	a	Proto když se moje pračka rozbila.
614	0	a	Vyluxuje chlupy i v koberci s nizkym vlasem.
4415	0	a	Tichy chod lehkost a velmi vykonny.
28181	1	a	Má problém při ždímání velmi malého objemu prádla (možná jen jednoho kusu prádla?).
26494	1	a	Takze nejlepe vycistit po kazdem vysavani.
919	0	a	Tlačítko on nemusíte držet po celou dobu vysávání.
347	0	a	Dobře se s ním pracuje.
949	0	a	Krátký program 30 minut.
14557	1	a	Trošku ztuha jde ovládač na přepínání rychlostí.
24835	1	a	Ale byly me vraceny penize.
7557	0	a	Co jsem slyšel o kvalitě kávy v kapslích.
14618	1	a	Ale s tím se u produktů tohoto typu počítá.
19833	1	a	Např mrkev skoro 2min.
17318	1	a	Není  v obchodě  k dispozici přípravek  na čištění  koberce.
3253	0	a	Snadné a efektivní použití.
13824	0	a	Přidat máchání navíc ap.
27712	1	a	A tím jsem se strojem skončila.
6620	0	a	Naprosto dostačující za slušnou cenu.
15943	1	a	Není možnost nastavit množství kávy.
24109	1	a	Kdyby byly silnejsi nebo kovove.
22174	1	a	Je nutné po vysátí vylít a vypláchnout nádobu s nečistotami + propláchnout a nechat vyschnout filtry.
473	0	a	Výborná káva i kapučíno.
6951	0	a	Pro nákup rozhodovala síla výrobku (600w).
21017	1	a	Když jsem v práci:-(.
14208	0	a	Nejsou vidět otisky prstů.
26825	1	a	Kulaté rohy polic ve dveřích.
18225	1	a	Není možné ovlivnit množství použité kávy.
18372	1	a	Je to sice jen maličkost a dá se (zatím?) řešit ručním promáčknutím tlačného spínače (odpovídajícím zavření a otevření dveří).
9016	0	a	Sáčky (3ks) se dají v ceně cca 190 kč.
24817	1	a	Po vyřešení  vloženou samostatně stojící  poličkou nemáme výhrady.
17686	1	a	Že by vydrželo extra dlouho.
5897	0	a	Dlouhá výdrž na jedno nabití.
1399	0	a	Dobře čistitelná(vyjímací drátěné police) a také vnitřní osvětlení.
8773	0	a	Úžasně rozmixuje vše (zkoušela jsem zatím 3x).
13257	0	a	Ke kvalitě praní nemám výhrady.
24710	1	a	Že ten text velmi drobným písmem zezadu je miniaturní návod.
1538	0	a	Používání je strašně jednoduché a rychlé.
15984	1	a	Skoro až překvapivý ( viz výše).
