764	0	a	Jednoduché použití kartáče na rukojeti.
1409	0	a	Perfektní využití v domácnosti.
1241	0	a	Velká a lehká mixovací nádoba, se kterou se snadno manipuluje.
10976	1	a	Balení obsahuje i nepotřebné časti, např trychtýř na sypáni kafe - zbytečný.
9892	1	a	Možná zbytečně velká nádoba, stačila by menší.
8089	0	a	Je malý, ale výkonný.
1485	0	a	Nezabírá příliš místa na lince.
9432	1	a	Nustnost kupovat sáčky, poměrně velký.
13507	1	a	Chybí nám oddělení pod mrazákem.
1426	0	a	Jde si vše nastavit dle velikosti sklenice. jde si nastavit poměr mléka ke kávě a objem vody v kávě a uložit.
2586	0	a	Mám jí týden, zatím šlape , je tichá.
3725	0	a	Plně nahradila předchozí pračku, zatím neshledávám žádnou potíž.
14698	1	a	Oklep filtru je méně účiný.
7250	0	a	Velice dobrý stroj, malý, skladný, dělá výbornou kávičku s hustou pěnou.
4730	0	a	Slušná kvalita za dobrou cenu.
9628	1	a	Špatně slícované plechy u pantu dveří.
9752	1	a	Šálek je opravdu lepší nahřát, třeba mimo teplou vodou,.
8699	1	a	Mám dva týdny - zatím jsem nenarazil na problém. možná cena sáčků? - to přesně nevím - dodány byly jen dva.
15933	1	a	Na vysávání velkých ploch by asi nebyl vhodný.
8892	1	a	Vzduchový kartáč nevysaje moc dobře koberec s vyšším vlasem.
13576	1	a	Hladina vody v zásobníku je špatně vidět.
8201	0	a	Zatím funguje velmi dobře.
10565	1	a	Police nemají zadní zvýšený okraj (potraviny mohou přimrznout k zadní stěně atd.
9162	1	a	O ničem zatím nevím.
13501	1	a	Trochu hlučněší oproti starému elektroluxu.
4761	0	a	Rychlé čištění, jednoduchá obsluha.
14968	1	a	Stříbrný kryt dvířek pračky (nastřik) - je náchylný na poškození při možném styku s chemik.přípravky - např.louh (čištění odpadů).
8073	0	a	Celkem šikovné a jednoduché ovládání.
638	0	a	Nízká cena, pro mě dostačující.
4028	0	a	Prozatím po krátké době provoz a funkce bezproblémové, k plné spokojenosti.
9284	1	a	Připojení sáčku nezaručuje úplnou těsnost.
14826	1	a	Gumové těsnění bubnu je příliš profilované, doufám že nebude trhat prádlo.
15853	1	a	Nema odečet času praní.
6953	0	a	Perfektní vysávání, vysaje i velmi jemný prach. je super, že špínu která se vysaje můžu hned vylit z vysavače.
3863	0	a	Stojí na místě jak přibitá.
1445	0	a	Chladnička jde necelý měsíc, zatím bez závad.
16275	1	a	Špatně se mi vytahuje spařovací jednotka.
10343	1	a	Nemá nádobku na nečistoty.není poznat, že je baterie nabitá /červené světlo při nabíjení svítí stále.
5371	0	a	Kvalita za rozumnou cenu.
11008	1	a	Při prudšim nebo delšim mixu netěsni u vičko jak je sklopny brčko,trocha cviku a da se to vychytat.
13201	1	a	Prádlo nelze samostatně odstředit.
2550	0	a	Bez el.kabelu, lehký, snadná manipulace, výkonný.
14329	1	a	Snad jen že po uvaření kávy z kapsle odkapává voda a udělá se tím trocha nepořádku. prý u jiných systémů je to ještě horší, ale nemám zkušenosti.
9740	1	a	Nízká teplota v mrazáku!!!  při teplotě na dig. displeji 18 °c bylo v mrazáku jen 16 °c !!!  měřeno profi  teploměrem.
8039	0	a	Dal jsem na recenze,supr masina.
5984	0	a	Zatím vše funguje, zdá se tichá, pere dobře, programy na výběr dobré, výborná funkce snadné žehlení, odstřeďování výborné.
12339	1	a	Bohužel je to jen pro šálky (sklenice) do 10 cm (nedáte sklenici s nohou na 'vídeňskou kávu').
1584	0	a	Pracuje poměrně tiše a spolehlivě. spokojenost s výkonem.
15825	1	a	Dle mého názoru dost nešťastně řešen vypínač chodu.
10820	1	a	Po zastavení pračky z víka steče sprška vody na to již vyždímané prádlo.
3975	0	a	Nastavitelná teplota, tvrdost a množství vydané vody.
592	0	a	Úsporné sušení - tepelné čerpadlo, usuší levněji a rychleji, to  i díky tomu, že ždíme na 1600 otáček.
4857	0	a	Přijatelná cena, nízká spotřeba.
9693	1	a	Když se použije pára pro napěnění mléka  je dlouhá prodleva než je stoj připraven k 'výrobě' presa (velice dlouho se nahřívá voda).
1321	0	a	Snad nejlepší šlehač jaký jsem kdy viděl. lehký, výkonný, dobře odstupňované rychlosti. relativně malý. neskutečně tichý.
14926	1	a	Zatím jsem na nic nepřišla.
13002	1	a	Není kontrola, jak daleko už je program.
7368	0	a	Předchozí zkušenost se shodným typem výrobku i značky (pouze starší model, jinak vše shodné).
7620	0	a	Lehce přenosné, malé místo zabírá.
379	0	a	Přesně vidíte, kolik zbývá cyklů do čištění nebo odvápnění.
2736	0	a	Rýchlá a chutná káva, tichý chod, různé velikosti připravovaného nápoje.
4934	0	a	Je malá a přitom na 6 kg prádla.
9141	1	a	Tento vysavač nepoužitelný, spíše jako dětská hračka.
13214	1	a	Plast je i navzdory ceně křehký.
14148	1	a	Jenom jedna barevná varianta.
1210	0	a	Velice užitečný a velmi praktický pomocník.
12404	1	a	Pri prvom pouzití bol cítit spaleny plast.
7525	0	a	Zatím jej mám krátce ale jsem spokojená a mohu doporučit.
8602	1	a	Neni zrejma aktualni teplota v chladnicce a mrazaku.
9611	1	a	Nastaveni otacek v krocich 600,800,1200. pri prani na 60 stupnu byla tepla cela predni stena - ale nicemu to nevadi.
16634	1	a	Ždímání - asi stejné, jako když vyždímáte prádlo v ruce.
5695	0	a	Snadné ovládání a vkládání prádla.
1280	0	a	Hezký vzhled, silný tah, lehká manipulace, velká výbava,.
338	0	a	Velmi dobrý poměr cena-výkon, zatím se zdá, že je vše kvalitně provedeno, mixer se dobře drží a na polévku nebo dětskou výživu plně postačuje. dobře se vyndavá noha z těla.
5613	0	a	Pro tenzo přístroj platí - hodně muziky za málo peněz.
8502	1	a	Když je nízká hladina vody, tak se namletá káva automaticky vyhodí a při doplnění vody se namele další dávka.
2107	0	a	Velmi dobře uspořádaný vnitřní prostor.
15739	1	a	Plast filtru je zprvu po zahřátí cítit plastem.
4346	0	a	Velký objem pracího bubnu.
14315	1	a	Zatím jsem žádné nenašla.
8612	1	a	Používám asi 14 dní a stále je dost cítit zápach z těsnící gumy kolem dvířek.
8234	0	a	Vysoký výkon, kvalitní a promyšlené provedení.
13866	1	a	Ždímací koš špatně drží - 1,5kg prádla nevyždíme.
